Image,contrast-1-0,ASM-1-0,energy-1-0,homogeneity-1-0,dissimilarity-1-0,contrast-1-45,ASM-1-45,energy-1-45,homogeneity-1-45,dissimilarity-1-45,contrast-1-90,ASM-1-90,energy-1-90,homogeneity-1-90,dissimilarity-1-90,contrast-1-135,ASM-1-135,energy-1-135,homogeneity-1-135,dissimilarity-1-135,contrast-2-0,ASM-2-0,energy-2-0,homogeneity-2-0,dissimilarity-2-0,contrast-2-45,ASM-2-45,energy-2-45,homogeneity-2-45,dissimilarity-2-45,contrast-2-90,ASM-2-90,energy-2-90,homogeneity-2-90,dissimilarity-2-90,contrast-2-135,ASM-2-135,energy-2-135,homogeneity-2-135,dissimilarity-2-135,contrast-3-0,ASM-3-0,energy-3-0,homogeneity-3-0,dissimilarity-3-0,contrast-3-45,ASM-3-45,energy-3-45,homogeneity-3-45,dissimilarity-3-45,contrast-3-90,ASM-3-90,energy-3-90,homogeneity-3-90,dissimilarity-3-90,contrast-3-135,ASM-3-135,energy-3-135,homogeneity-3-135,dissimilarity-3-135,L,a*,b*,output
/content/gdrive/My Drive/Colab Notebooks/feature/1-1-rs.jpg,0.92504931,0.84323439,0.91827795,0.54063116,0.91978961,0.92110454,0.83670385,0.91471518,0.54260355,0.91584484,0.92110454,0.83670385,0.91471518,0.54260355,0.91584484,0.92110454,0.83670385,0.91471518,0.54260355,0.91584484,0.92044707,0.83562148,0.91412334,0.54293228,0.91518738,0.92241946,0.83442932,0.91347103,0.54273504,0.91584484,0.92241946,0.83442932,0.91347103,0.54273504,0.91584484,0.92110454,0.83670385,0.91471518,0.54260355,0.91584484,0.92833662,0.84872404,0.9212622,0.53898751,0.92307692,0.91913215,0.83346193,0.91294136,0.54358974,0.91387245,0.91913215,0.83346193,0.91294136,0.54358974,0.91387245,0.92110454,0.83670385,0.91471518,0.54260355,0.91584484,18.5925,1.6103,10.6244,1
/content/gdrive/My Drive/Colab Notebooks/feature/1-2-rs.jpg,0.93228139,0.85536869,0.92486144,0.53701512,0.9270217,0.93030901,0.85203859,0.92305936,0.53800131,0.92504931,0.93030901,0.85203859,0.92305936,0.53800131,0.92504931,0.93030901,0.85203859,0.92305936,0.53800131,0.92504931,0.9165023,0.82916357,0.91058419,0.54490467,0.9112426,0.9270217,0.84652299,0.92006684,0.53964497,0.921762,0.9270217,0.84652299,0.92006684,0.53964497,0.921762,0.93030901,0.85203859,0.92305936,0.53800131,0.92504931,0.92439185,0.84214164,0.91768276,0.54095989,0.91913215,0.92833662,0.84872404,0.9212622,0.53898751,0.92307692,0.92833662,0.84872404,0.9212622,0.53898751,0.92307692,0.93030901,0.85203859,0.92305936,0.53800131,0.92504931,17.6059,3.5046,3.5046,1
/content/gdrive/My Drive/Colab Notebooks/feature/1-3-rs.jpg,0.87508218,0.69639511,0.83450291,0.57981591,0.84615385,0.88099934,0.7078257,0.84132378,0.57606838,0.85338593,0.88099934,0.7078257,0.84132378,0.57606838,0.85338593,0.88099934,0.7078257,0.84132378,0.57606838,0.85338593,0.86982249,0.68962424,0.83043618,0.58244576,0.84089415,0.87376726,0.69469202,0.83348187,0.58047337,0.84483892,0.87376726,0.69469202,0.83348187,0.58047337,0.84483892,0.88099934,0.7078257,0.84132378,0.57606838,0.85338593,0.86587771,0.69172501,0.83170007,0.58284024,0.83957922,0.87047995,0.69404882,0.83309593,0.58132807,0.84286654,0.87047995,0.69404882,0.83309593,0.58132807,0.84286654,0.88099934,0.7078257,0.84132378,0.57606838,0.85338593,17.4593,2.8469,10.4542,1
/content/gdrive/My Drive/Colab Notebooks/feature/1-4-rs.jpg,0.88494412,0.72439323,0.85111294,0.57172913,0.86127548,0.88494412,0.73203034,0.85558772,0.57015122,0.86390533,0.88494412,0.73203034,0.85558772,0.57015122,0.86390533,0.88494412,0.73203034,0.85558772,0.57015122,0.86390533,0.8816568,0.74289727,0.86191488,0.56863905,0.86587771,0.88560158,0.73294672,0.85612308,0.56982249,0.86456279,0.88560158,0.73294672,0.85612308,0.56982249,0.86456279,0.88494412,0.73203034,0.85558772,0.57015122,0.86390533,0.88034188,0.74103857,0.86083597,0.56929652,0.86456279,0.88888889,0.72984485,0.85430958,0.56975674,0.86522025,0.88888889,0.72984485,0.85430958,0.56975674,0.86522025,0.88494412,0.73203034,0.85558772,0.57015122,0.86390533,18.6381,1.9216,9.3272,1
/content/gdrive/My Drive/Colab Notebooks/feature/10-1-rs.jpg,0.93228139,0.81971617,0.90538178,0.54332676,0.9165023,0.93293886,0.81208079,0.90115525,0.54457594,0.91452991,0.93293886,0.81208079,0.90115525,0.54457594,0.91452991,0.93293886,0.81208079,0.90115525,0.54457594,0.91452991,0.9165023,0.79467296,0.89144431,0.55121631,0.90072321,0.92899408,0.81009155,0.90005086,0.54575937,0.91190007,0.92899408,0.81009155,0.90005086,0.54575937,0.91190007,0.93293886,0.81208079,0.90115525,0.54457594,0.91452991,0.91781723,0.81383575,0.90212846,0.54740302,0.90729783,0.92570677,0.80486557,0.897143,0.54740302,0.90861275,0.92570677,0.80486557,0.897143,0.54740302,0.90861275,0.93293886,0.81208079,0.90115525,0.54457594,0.91452991,18.4944,-1.1805,13.1123,0
/content/gdrive/My Drive/Colab Notebooks/feature/10-2-rs.jpg,0.91913215,0.81593998,0.90329396,0.54674556,0.90861275,0.91190007,0.81736037,0.90407985,0.54799474,0.90532544,0.91190007,0.81736037,0.90407985,0.54799474,0.90532544,0.91190007,0.81736037,0.90407985,0.54799474,0.90532544,0.91452991,0.80860545,0.89922492,0.54904668,0.90401052,0.91321499,0.80652543,0.89806761,0.54970414,0.9026956,0.91321499,0.80652543,0.89806761,0.54970414,0.9026956,0.91190007,0.81736037,0.90407985,0.54799474,0.90532544,0.91190007,0.80445233,0.89691267,0.5503616,0.90138067,0.91190007,0.8001946,0.89453597,0.55115056,0.90006575,0.91190007,0.8001946,0.89453597,0.55115056,0.90006575,0.91190007,0.81736037,0.90407985,0.54799474,0.90532544,17.4509,-1.6688,13.0305,0
/content/gdrive/My Drive/Colab Notebooks/feature/10-3-rs.jpg,0.80670611,0.59949357,0.7742697,0.61873767,0.76988823,0.80933596,0.60785168,0.77964843,0.61584484,0.77514793,0.80933596,0.60785168,0.77964843,0.61584484,0.77514793,0.80933596,0.60785168,0.77964843,0.61584484,0.77514793,0.81722551,0.6040582,0.77721181,0.61505588,0.77777778,0.80802104,0.60364582,0.77694647,0.61729126,0.77251808,0.80802104,0.60364582,0.77694647,0.61729126,0.77251808,0.80933596,0.60785168,0.77964843,0.61584484,0.77514793,0.81262327,0.59953161,0.77429426,0.617357,0.77317554,0.8139382,0.60081627,0.77512339,0.61669954,0.77449047,0.8139382,0.60081627,0.77512339,0.61669954,0.77449047,0.80933596,0.60785168,0.77964843,0.61584484,0.77514793,17.6234,-0.7148,11.2645,0
/content/gdrive/My Drive/Colab Notebooks/feature/10-4-rs.jpg,0.90532544,0.78581861,0.88646411,0.55522682,0.8921762,0.89940828,0.77274199,0.87905744,0.55897436,0.88494412,0.89940828,0.77274199,0.87905744,0.55897436,0.88494412,0.89940828,0.77274199,0.87905744,0.55897436,0.88494412,0.89875082,0.77585078,0.88082392,0.55851414,0.88560158,0.89020381,0.76315108,0.87358519,0.56278764,0.87705457,0.89020381,0.76315108,0.87358519,0.56278764,0.87705457,0.89940828,0.77274199,0.87905744,0.55897436,0.88494412,0.89809336,0.7748635,0.88026332,0.55884287,0.88494412,0.89809336,0.7748635,0.88026332,0.55884287,0.88494412,0.89809336,0.7748635,0.88026332,0.55884287,0.88494412,0.89940828,0.77274199,0.87905744,0.55897436,0.88494412,16.639,-0.7251,9.2118,0
/content/gdrive/My Drive/Colab Notebooks/feature/2-1-rs.jpg,0.83497699,0.70963599,0.84239895,0.58566732,0.82971729,0.82840237,0.70115512,0.83735006,0.58895464,0.82314267,0.82840237,0.70115512,0.83735006,0.58895464,0.82314267,0.82840237,0.70115512,0.83735006,0.58895464,0.82314267,0.83366206,0.70069347,0.83707435,0.5879027,0.82577252,0.82971729,0.69924627,0.83620947,0.58908613,0.82314267,0.82971729,0.69924627,0.83620947,0.58908613,0.82314267,0.82840237,0.70115512,0.83735006,0.58895464,0.82314267,0.84944116,0.72890253,0.85375789,0.57843524,0.84418146,0.84220907,0.71545849,0.84584779,0.58284024,0.83563445,0.84220907,0.71545849,0.84584779,0.58284024,0.83563445,0.82840237,0.70115512,0.83735006,0.58895464,0.82314267,17.9881,0.9717,11.1333,1
/content/gdrive/My Drive/Colab Notebooks/feature/2-2-rs.jpg,0.95003287,0.84908022,0.92145549,0.53445102,0.93425378,0.9460881,0.83796345,0.91540344,0.53721236,0.92899408,0.9460881,0.83796345,0.91540344,0.53721236,0.92899408,0.9460881,0.83796345,0.91540344,0.53721236,0.92899408,0.94214333,0.82700402,0.90939761,0.5399737,0.92373439,0.94017094,0.82818321,0.91004572,0.54017094,0.92307692,0.94017094,0.82818321,0.91004572,0.54017094,0.92307692,0.9460881,0.83796345,0.91540344,0.53721236,0.92899408,0.94345825,0.83805768,0.9154549,0.53773833,0.92767916,0.94017094,0.83261125,0.91247534,0.53938199,0.92439185,0.94017094,0.83261125,0.91247534,0.53938199,0.92439185,0.9460881,0.83796345,0.91540344,0.53721236,0.92899408,16.8646,0.2907,9.5543,1
